mes_compra,faturamento_mensal,total_pedidos,frete_medio,prazo_medio_entrega,taxa_atraso,nota_media
2016-10,46566.71,265,23.26622641509434,19.135849056603774,0.011320754716981131,4.013089276857865
2016-12,19.62,1,8.72,4.0,0.0,5.0
2017-01,127545.67,750,20.912013333333334,12.092,0.030666666666666665,4.198541300136004
2017-02,271298.65,1653,22.39317604355717,12.60617059891107,0.03206291591046582,4.2023969719042835
2017-03,414369.39,2546,21.654399057344854,12.395522388059701,0.05577376276512176,4.187143821547441
2017-04,390952.18,2303,21.772783326096395,14.35258358662614,0.07859313938341293,4.137659944822021
2017-05,567066.73,3546,21.859320360970106,10.760507757404795,0.03609701071630006,4.237838168291535
2017-06,490225.6,3135,21.7311004784689,11.50622009569378,0.03859649122807018,4.2224080596295614
2017-07,566403.93,3872,21.873595041322314,11.131198347107437,0.034349173553719005,4.2576239455079214
2017-08,646000.61,4193,21.734476508466493,10.700691628905318,0.03315048891008824,4.310487513656519
2017-09,701169.99,4150,22.572968674698796,11.400722891566264,0.052048192771084335,4.2666262705023845
2017-10,751140.27,4478,22.972166145600713,11.416927199642698,0.05292541313086199,4.20489035787961
2017-11,1153528.05,7289,22.719005350528192,14.699506037321624,0.14309233090958978,3.9900490042865524
2017-12,843199.17,5513,21.230745510611282,14.936695084346091,0.08380192272809722,4.090172938817425
2018-01,1078606.86,7069,21.678095911727258,13.6372895741972,0.06563870420144292,4.109102884357557
2018-02,966510.88,6555,21.316747520976353,16.508619374523263,0.15987795575896263,3.8837272108635665
2018-03,1120678.0,7003,23.88147793802656,15.867485363415678,0.21362273311437954,3.8159491746491208
2018-04,1132933.95,6798,23.43995881141512,11.048543689320388,0.05310385407472786,4.205896748303293
2018-05,1128836.69,6749,22.407738924285077,10.959105052600385,0.08238257519632539,4.23591908805838
2018-06,1012090.68,6099,25.561637973438266,8.774442257217848,0.013608788325955074,4.306402568771713
2018-07,1027903.86,6159,25.954508848839097,8.503736192332683,0.044812469556746226,4.31708659511602
2018-08,985414.28,6351,23.132577546843017,7.286411588726184,0.10392064241851677,4.309837916638536
