mes_compra,faturamento_real,faturamento_previsto,erro_absoluto
2018-03,1120678.0,1119518.412747671,1159.5872523291036
2018-04,1132933.95,1067952.503488711,64981.44651128887
2018-05,1128836.69,1075437.535048693,53399.15495130699
2018-06,1012090.68,997915.2780416091,14175.401958390954
2018-07,1027903.86,1043675.6871483969,15771.827148396871
2018-08,985414.28,1052941.777838014,67527.49783801404
